user_question,label_1
через сколько лет переход общественное достояние?,МОДЕРАЦИЯ
произведние в общественном достоянии? О чем это?,МОДЕРАЦИЯ
"Почему не скажете, кому пренадлежат эти права?",МОДЕРАЦИЯ
"Кто этот правообладатель прав, почему не уведомляете фамилией?",МОДЕРАЦИЯ
Некоторые комментарии  и видео фильтры Рутуба почему-то пропускают. Пожаловаться тоже непонятно как  среди сотен отзывов весьма проблематично.Спасибо.,МОДЕРАЦИЯ
"Доброго дня хочу пожаловаться на видео. В этом видео автор канала просит скидывать денежные средства, на электронные кошельки указанные в описание к видео, при этом не предоставив никаких документов.  Усматривают в этом нарушение законодательства РФ, а именно 151 статью УК РФ -Попрошайничество и статья мошенничество 159 УК РФ.  Прошу незамедлительно заблокировать данное видео на вашей платформе",МОДЕРАЦИЯ
"Помимо обычного рутуба есть какое-то приложение для автора, что это?",УПРАВЛЕНИЕ АККАУНТОМ
Сделайт уже студию для андроида,УПРАВЛЕНИЕ АККАУНТОМ
"не хочу пользоваться студией с ноутбука, хочу с телефона",УПРАВЛЕНИЕ АККАУНТОМ
Что можно делать в приложени ситудии?,УПРАВЛЕНИЕ АККАУНТОМ
Никак с приложения нельзя посмотреть аналитику по каналу?,УПРАВЛЕНИЕ АККАУНТОМ
на всех устройствах доступно прилоежние студии?,ДОСТУП К RUTUBE
"Здравствуйте!Хочу скачать ваше приложение студии для устройства SberPortal но не могу инфу на вашем сайте, с каких версий доступно",ДОСТУП К RUTUBE
где посмотреть версию в студии на айос,ОТСУТСТВУЕТ
Есть ли данные о версии в приложения Студия RUTUBE ios?,ОТСУТСТВУЕТ
"где увидеть цифры версии, вы запрашиваете, а я не могу найти. Уже посмотрела везде, как я должна узнать, у меня айфон 11",ОТСУТСТВУЕТ
"Какой логин указывать в студии на смартфоне? Вхожу первый ра, у меня айфон 12, если надо",УПРАВЛЕНИЕ АККАУНТОМ
Можно ли регистрироваться в студии приложении ios на почту?,УПРАВЛЕНИЕ АККАУНТОМ
Какой логин указывать в студии на смартфоне? Забыла почта или номер нужен,УПРАВЛЕНИЕ АККАУНТОМ
Можно ли регистрироваться в студии приложении на почту?,УПРАВЛЕНИЕ АККАУНТОМ
МОЖНО ПОВТОРНО ВОЙТИ В ПРИЛОЖЕНИЕ СТУДИИ?,УПРАВЛЕНИЕ АККАУНТОМ
"Можно ли сделать так, чтобы в приложении студии и обычном приложении рутуба был один канал?",УПРАВЛЕНИЕ АККАУНТОМ
как можно выполнить вход в приложении Студия RUTUBE с пароле или без?,УПРАВЛЕНИЕ АККАУНТОМ
Обязательно ли код вводить при входе в студию?,УПРАВЛЕНИЕ АККАУНТОМ
Как без проверочного кода зайти в приложении студии?,УПРАВЛЕНИЕ АККАУНТОМ
Как можно выйти со всех устройств в пиложении студии? ,УПРАВЛЕНИЕ АККАУНТОМ
напишите пошагово действия как выйти из канала в приложении Студия RUTUBE,УПРАВЛЕНИЕ АККАУНТОМ
я могу вообще выйти из студии на айфоне?,УПРАВЛЕНИЕ АККАУНТОМ
какие данные можно менять в приложении Студия RUTUBE?,УПРАВЛЕНИЕ АККАУНТОМ
Как в приложении Студия RUTUBE мне изменить дату рождения?,УПРАВЛЕНИЕ АККАУНТОМ
Как в приложении Студия RUTUBE изменить номер телефона?,УПРАВЛЕНИЕ АККАУНТОМ
можно обновить в приложении Студия RUTUBE описание канала?,УПРАВЛЕНИЕ АККАУНТОМ
Где можно изменить название канала в студии на смартфорне?,УПРАВЛЕНИЕ АККАУНТОМ
как удалить канал в приложении Студия RUTUBE,УПРАВЛЕНИЕ АККАУНТОМ
"Здравствуйте ! Хочу удалить аккаунт, а кнопки удаления вроде нету ни в профиле, ни в студиии приложении. Как удалить?",УПРАВЛЕНИЕ АККАУНТОМ
как изменить фотку профиля в приложении студии?,УПРАВЛЕНИЕ АККАУНТОМ
можно ли в приложении Студия RUTUBE поменять фотографию канала?,УПРАВЛЕНИЕ АККАУНТОМ
как мне выдать доступы к студии канала через приложение Студия RUTUBE?,ПРЕДЛОЖЕНИЯ
уже можно настраивать доступп к студии через приложение?,ПРЕДЛОЖЕНИЯ
Как управлять другим каналом через приложение Студия RUTUBE?,ПРЕДЛОЖЕНИЯ
"могу я делать что-то на канале другого человека в приложении студия, если дали доступ?",ПРЕДЛОЖЕНИЯ
Что не так может быть с обложкой канала?,УПРАВЛЕНИЕ АККАУНТОМ
"Добрый день, не загружается обложка канала, пишет странный размер - не более 2204",УПРАВЛЕНИЕ АККАУНТОМ
"Можно скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",ПРЕДЛОЖЕНИЯ
"Можно ли менять местами  разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",ПРЕДЛОЖЕНИЯ
Можно ли увидеть аналитику по конкретному видео в приложении Студия RUTUBE?,ПРЕДЛОЖЕНИЯ
в приложении Студия как увидеть аналитику по всем видео?,ПРЕДЛОЖЕНИЯ
"Доброй ночи, возможно мои пожелания с 99% не учтут но все же ) Добавьте аналитику по все видео  в обычном приложении студии тоже было бы не плохо Добавил 4,5 скрин - как то скудно он выглядит на фоне других и не так удобно надеюсь на то что вы станете на 1 месте пока что в России а дальше и по миру",ПРЕДЛОЖЕНИЯ
сколько денег я заработал за видео в приложении студии?,ПРЕДЛОЖЕНИЯ
"Где посмотреть доход по ролику ""Тундра""? В студии не вижу, на сайте чтоль надо",ПРЕДЛОЖЕНИЯ
Как в студии рутуба на телефоне подать заявку на монетизацию?,ПРЕДЛОЖЕНИЯ
в студии рутуба вообще что ль нельзя документы на монетизацию отправить?,ПРЕДЛОЖЕНИЯ
Как в студии рутуба на телефоне создать свой плейлист?,ПРЕДЛОЖЕНИЯ
в студии рутуба вообще что ль нельзя плейлисты делать?,ПРЕДЛОЖЕНИЯ
Можно в студии в приложении грузить видео?,ПРЕДЛОЖЕНИЯ
загружать можно только в обычно приложении или в приложении студии тоже?,ПРЕДЛОЖЕНИЯ
Как в приложении Студия RUTUBE создавать трансляции?,ПРЕДЛОЖЕНИЯ
"запусть трансляции можно только на сайте студии, как это в студии приложения сделать?",ПРЕДЛОЖЕНИЯ
"Как отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?",ПРЕДЛОЖЕНИЯ
как мне отклоненные видео отсортировать в студии на телефоне?,ПРЕДЛОЖЕНИЯ
"Добрый день. При загрузке видео загружаем изображение обложки, но после загрузки обложка не видна.  видео выходит ошибка «не удалось обновить оложку» Помогите с проблемой, подскажите как загрузить на видео обложки, какой она должна быть",ВИДЕО
"Добрый день, не загружается обложка видео, пишет странный размер - не мене 320 - 320, это что то новое?",ВИДЕО
любую обложку на видео можно загрузить или как?,ВИДЕО
"Как мне сстудии посмотреть что мне ответили в комментариях, я не могу найти это в приложении айос",ПРЕДЛОЖЕНИЯ
"Где в приложении студии на айфон раздел ""Комментарии""?",ПРЕДЛОЖЕНИЯ
уже организовали работу с комментариями в студии на смарфтоне или нет? Мне надо обновляться в appstore или нет?,ПРЕДЛОЖЕНИЯ
перенести видео в приложеиии нлельзя что ль? С ютуба только на сайте можно?,ПРЕДЛОЖЕНИЯ
в студии ios есть испорт видео с YouTub? Разом что б все,ПРЕДЛОЖЕНИЯ
проблемы со входом в приложении Студия RUTUBE,УПРАВЛЕНИЕ АККАУНТОМ
"какая почта, если проблемы со входом на акаунт студии, и что указать",УПРАВЛЕНИЕ АККАУНТОМ
как связаться с поддержкой в приле студии?,ОТСУТСТВУЕТ
как вам написать прямо из студии на смартфоне? Надо почту открывать?,ОТСУТСТВУЕТ
"куда нажать, чтобы увидеть кнопку поддержки в приложении Студия RUTUBE?",ОТСУТСТВУЕТ
"Помимо студии на сайте есть какое-то приложение для автора, оно ваше? Там почти также как в веб версии?",УПРАВЛЕНИЕ АККАУНТОМ
Сделайт уже студию для айфона,УПРАВЛЕНИЕ АККАУНТОМ
что за студия для смартфоно?,УПРАВЛЕНИЕ АККАУНТОМ
"функионал обычного приложения и студии для самсунга отличаются или нет? Меня конкрутно студия инстресует, что там можно",УПРАВЛЕНИЕ АККАУНТОМ
"Загрузка и редактирование видео, создание и редактирование плейлистов и трансляций доступно в приложении Студия RUTUBE?",УПРАВЛЕНИЕ АККАУНТОМ
как скачать студию на андроид,ДОСТУП К RUTUBE
как скачатть приложение для авторов студии на хуавей?,ДОСТУП К RUTUBE
Можно ли где-то скачать приложение Студия на android?,ДОСТУП К RUTUBE
"У меня телефон techno, можно установить Студию?",ДОСТУП К RUTUBE
"Здравствуйте! с каких версий доступно приложении студии, устаревшие версии телефонов андроид есть?",ДОСТУП К RUTUBE
где посмотреть версию в студии на андроиде,ОТСУТСТВУЕТ
Есть ли данные о версии в приложения Студия RUTUBE на xiaomi?,ОТСУТСТВУЕТ
"где увидеть цыфры версии, вы запрашиваете, а я не могу найти. Уже посмотрела везде, как я должна узнать, у меня хуавей",ОТСУТСТВУЕТ
есть студия рутуба для планшетов?,ДОСТУП К RUTUBE
Здравствуйте можно запустить рутуб ноо я на планшете?,ДОСТУП К RUTUBE
"Здравствуйте, а rutube оптимизирован для планшетов? Можно скачать?",ДОСТУП К RUTUBE
Какой логин указывать в студии на смартфоне? Вхожу первый раз на самсунге,УПРАВЛЕНИЕ АККАУНТОМ
Можно ли регистрироваться в студии приложении для андоида на телефон?,УПРАВЛЕНИЕ АККАУНТОМ
Забыла почта или номер нужен для входа  в прилу студии че делать,УПРАВЛЕНИЕ АККАУНТОМ
Могу зайти в студию приложение на андроид по номеру телефона? Также как на сайте или как надо то ничего не понятно сделайте уже яснее,УПРАВЛЕНИЕ АККАУНТОМ
можно сделать один аккунт и для сайта идля студии на смартфоне? Или надоразные,УПРАВЛЕНИЕ АККАУНТОМ
"Я ЗАРЕГИСТРИРОВАЛСЯ НА САЙТЕ, мне нада 2 профиль для студии на смартфоне или нет?",УПРАВЛЕНИЕ АККАУНТОМ
когда ответите уже как зайти без кода то в студию приложени?,УПРАВЛЕНИЕ АККАУНТОМ
надо обязательно ввести код? Чтобы подключить студию на смартфон,УПРАВЛЕНИЕ АККАУНТОМ
почему то туда отсылает Код...Как такое вообще возможно????? Как зайти без кода?????,УПРАВЛЕНИЕ АККАУНТОМ
Как выйти из акаунта в приложении студии?  ,УПРАВЛЕНИЕ АККАУНТОМ
"Здравствуйте!Как выйти из чужого аккаунта стдии на анроиде, чтобы зайти под моим аккаунтом?С уважением,Дмитрий",УПРАВЛЕНИЕ АККАУНТОМ
Я же указал дату рождения в профиле… а как в рутубе студии на хуавее изменить остальные данные,УПРАВЛЕНИЕ АККАУНТОМ
"Немого настроить профиль. Настраиваю пол, куда вписать, могу это сделать в студии на смартфоне?",УПРАВЛЕНИЕ АККАУНТОМ
в андроиде студии как изменить название канала?,УПРАВЛЕНИЕ АККАУНТОМ
"можно свой ник сделать ""Кулинария"" в приложении Студия на андроиде?",УПРАВЛЕНИЕ АККАУНТОМ
"Добрый день.Я бы хотел удалить канал  так как не могу понять.Подскажите, пожалуйста, как это сделать? --Админ Тио Андроид студия",УПРАВЛЕНИЕ АККАУНТОМ
 здравствуйте прошу удалить аккаунт в студии на вашем канале так как случайно зарегистрировалась повторноудалить аккаунт необходимо с привязкой по номеру телефона скриншот в приложении --Надежда,УПРАВЛЕНИЕ АККАУНТОМ
"Здравствуйте, подскажите как загрузить обложку со смартфона на канал, в студии окноесть такое?",УПРАВЛЕНИЕ АККАУНТОМ
"добрый день, можно приимерить другую обложку канала в студии на телефоне или нет?(",УПРАВЛЕНИЕ АККАУНТОМ
Как поменять обложку в профиле канала в рутуп стутии?,УПРАВЛЕНИЕ АККАУНТОМ
"Здравствуйте. Скажите, пожалуйста, можно дли дать доступ к управлению каналом администратору и как его назначить в риложении студии?  есть ли у нас где-то инструкция?",ПРЕДЛОЖЕНИЯ
"Добрый день!Как мне создать доступ для администратора канала, чтобы он смог автономно заходить и размещать видео и пр. через приложение студии",ПРЕДЛОЖЕНИЯ
Не понимаю как управлять каналом другим с тудии рутуба на смартфоне,ПРЕДЛОЖЕНИЯ
Можно управлть каналом грузить видео на чужой профиль только на сайте? В приложении студии сделайте так,ПРЕДЛОЖЕНИЯ
"приложение студии 50/50 сыровато дизайн как для дедушек если было бы более мимолистично по типу как в ютубе было бы имба и скажите пожалуйста какую обложку можно загружать на канала, не могу разобраться ",УПРАВЛЕНИЕ АККАУНТОМ
"На 4 с минусом на момент начала 2021гПоследние пять лет сколько не заходил  на РuTube то сразу закрывал страницу. Какой-то совершенно невнятный интерфейс и неясно можно грузить обложку или нет и какую,хочу поменять уже оформление канала",УПРАВЛЕНИЕ АККАУНТОМ
Добрый день! Не получается загрузить обложку к каналу. Формат что ль не тот . Подскажите пожалуйста,УПРАВЛЕНИЕ АККАУНТОМ
какой должна быть обложка канала? По размерам и прочему,УПРАВЛЕНИЕ АККАУНТОМ
хочу изменять интерфейс в обзоре студии приложения,ПРЕДЛОЖЕНИЯ
как передвигать блоки в обзоре в студиия7 на самсунге,ПРЕДЛОЖЕНИЯ
Добрый вечер!!! Хотел бы уточнить как я могу посмотреть аналитику видео в приложении студия на андроиде?,УПРАВЛЕНИЕ АККАУНТОМ
"Здравствуйте.Подскажите пожалуйста, где в мобильном приложении (скачивала из гугл стора) найти аналитику Rutube студию. можно смотреть аналитику на ролик на сайте и так далее.А в смартфоне вообще не могу найти, тыкая на аватарку попадаем в настройки.Спасибо за помощь.",УПРАВЛЕНИЕ АККАУНТОМ
"Добрый вечер. перешел с ютуба и не могу найти где посмотреть аналитику одного видео а не всех на моем канале , подскажите как и где это можно посмотреть в студии на хуавей?",УПРАВЛЕНИЕ АККАУНТОМ
сколько мне начислили за видео в студии андроида?,ПРЕДЛОЖЕНИЯ
можно как-то увидеть сколько рублей придет за мой блогерский ролик? Пользуюсь студией приложением,ПРЕДЛОЖЕНИЯ
где заполнить заявку на монетизацию в студии руьуба?,ПРЕДЛОЖЕНИЯ
как стать партнером в приложении студии,ПРЕДЛОЖЕНИЯ
"как оформить договор чтобы деньги получать в приложении, мне сказадли в студии надо заявку оформить но я не могу найти такой раздел",ПРЕДЛОЖЕНИЯ
Здравствуйте !  Мне не хватает функционала в настройке своего канала:нужна возможность помещать видео в плейлист.Хотелось бы иметь возможность делать это в приложении студии,ПРЕДЛОЖЕНИЯ
"как на сайте можно создавать подборки-плейлситы своих видео, как то же делать в приложении студии?",ПРЕДЛОЖЕНИЯ
Хотелось бы больше возможностей по созданию и управлению плейлистами. Нет возможности создать плейлисты из роликов моих,ПРЕДЛОЖЕНИЯ
Именно подборки сделать возможности нет. Но вы можете создать плейлисты и добавить туда необходимые видеоролики. Создать их можно в Студии RUTUBE: https://studio.rutube.ru/playlists.Не могу войти,ПРЕДЛОЖЕНИЯ
Здравствуйте разработчики приложение студии на андроид классное у меня вопрос можно загружать видео на это приложение ,ВИДЕО
"Доброго времени суток. Я здесь новенькая, подскажите, пожалуйста, можно загружать видео? Отправлено с Студия RUTUBE на Android",ВИДЕО
я хочу начать трансляцию но на телефоне студия для андроид,ТРАНСЛЯЦИЯ
"скачала студию с рустора, как запустить стрим?",ТРАНСЛЯЦИЯ
есть возможность запуска стримой для студии андроида?,ТРАНСЛЯЦИЯ
Здравствуйте а как можно запустить трансляцию в студии ноо я на хуавее?,ТРАНСЛЯЦИЯ
"Здравствуйте, есть проблема нужна ваша помощь с приложением студии рутуба, устанавлиявал с ру маркета. У меня два канала в рутубе. В одном из них - основном, в качестве логина используется мой номер телефона. На другом основном канале в качестве логина эл поста. На основном канале хочу запустить трансляцию,  тут так можно?",ТРАНСЛЯЦИЯ
как посмотреть отклоненные модераторов ролики все?,ПРЕДЛОЖЕНИЯ
"Могу отфильтровать только опубликованные и запланированные видео, а заблокированные модерацией нет?",ПРЕДЛОЖЕНИЯ
Здравствуйте! какие размеры Обложки ролика. Браузер Яндекс.,ВИДЕО
"какой обложку надо сделать, чтобы на сериал мой личный установить?",ВИДЕО
размер фотографии к ролику можно сделать 500мб?,ВИДЕО
Как заблокировать чужой канал в сприложении студии,ПРЕДЛОЖЕНИЯ
"Здравствуйте. Появился раздел в настройках Студии на сайте ""Заблокированные пользователи"" Как разблокировать - есть такая  возможно, а как заблокировать - не  с ПК, а в приложении. Так как блокировать каналы других, чтобы не оставляли комментарии на моем канале? Спасибо.",ПРЕДЛОЖЕНИЯ
как заблокировать канал навсегда с тудии на телефоне?!,ПРЕДЛОЖЕНИЯ
"Мне надо 3 коммента закрепить, как?",ВИДЕО
до сколких сособщений зрителей по плеером можно вверху прикрепить прям под видео?,ВИДЕО
можно только чужие кооменты закруплять ? Или и чужой и свой могу?,ВИДЕО
"Добрый день!Прошу проинструктировать, как перенести видео с моего канала Youtube на мой канал Rutube в приложении Студия. С Уважением, Максим",ПРЕДЛОЖЕНИЯ
как с ютуба к вам импортировать контент? В приле студии,ПРЕДЛОЖЕНИЯ
"Добрый день. Спасибо. Подскажите, пожалуйста, как перенести более 100 видеов студии. На данный момент 175, пользуюсь прилой",ПРЕДЛОЖЕНИЯ
"Не могу зарегаться в приложении. Захочу написать, куда",УПРАВЛЕНИЕ АККАУНТОМ
вам надо че нибудь скидывать если на хелп опишу проблему со входом?,УПРАВЛЕНИЕ АККАУНТОМ
"какая почта поддержки, если написать в приложении Студия RUTUBE?  И как это сделать",ОТСУТСТВУЕТ
"у всех есть кнопки связи с поддержкой, а у вас нет, я не хочу писать в чат я хочу прямо из приложения по студии все сделать",ОТСУТСТВУЕТ
"для чего нужна эта функция, она что-то дает? чтобы другие могли подключиться к моему каналу?",УПРАВЛЕНИЕ АККАУНТОМ
мне надо давать пароль свой если дам доступ коллеге в студии?,УПРАВЛЕНИЕ АККАУНТОМ
"я зашел в настройки, где тут это поле,куда нао списывать логин другого канала, мне надо быстрее настроить, чтобы могли за меня грузить. Ответьте.",УПРАВЛЕНИЕ АККАУНТОМ
"мне надо куда зайти, чтобы оформить роли доступов?",УПРАВЛЕНИЕ АККАУНТОМ
Чтобы дать доступ что надо списывать в поле пользователя?,УПРАВЛЕНИЕ АККАУНТОМ
"могу присоещдинить канал к моейс студии, если нет номера телефона на том канале, точно почта?",УПРАВЛЕНИЕ АККАУНТОМ
как мне дать досутп к канал другу?+A204A203:A2A200:A250,УПРАВЛЕНИЕ АККАУНТОМ
как названчить администратора канала?,УПРАВЛЕНИЕ АККАУНТОМ
как мне дать доступ по ссылке на канал автора,УПРАВЛЕНИЕ АККАУНТОМ
можно администратора на канал присоединить по айди?,УПРАВЛЕНИЕ АККАУНТОМ
"Можно дать доступ в студии человеку, у которого нет канала у вас?",ПРЕДЛОЖЕНИЯ
"как мне добавить администратора, у которого нет канала на рутубе?",ПРЕДЛОЖЕНИЯ
сколько человек можно сделать администраторами?,УПРАВЛЕНИЕ АККАУНТОМ
50 ролей для 2-х каналов или 1?,УПРАВЛЕНИЕ АККАУНТОМ
"я работаю в группе компаний, у кажой компании есть канал свой, их около 70. Они могут все дать мне лоступ на управление каналами в настройках или есть лимит?",УПРАВЛЕНИЕ АККАУНТОМ
Сколько студий мне могут дать в управление? Есть максимум?,УПРАВЛЕНИЕ АККАУНТОМ
ограничения на выдачу ролей мне однму аккаунту есть? Могут мне все разрешить управлять своим акком?,УПРАВЛЕНИЕ АККАУНТОМ
"максимально 100, 200 или сколька каналав мне могут одновременно дать мне права?",УПРАВЛЕНИЕ АККАУНТОМ
Можно дать 1 профилю роль редактора с ограниченными правами и модератора?,ПРЕДЛОЖЕНИЯ
"почему-то не получается дать модератора моему подчиненному, редактора получилось, а модератора нет",ПРЕДЛОЖЕНИЯ
Есть ограничение на количество получаемых ролей доя одного акаунта?,ПРЕДЛОЖЕНИЯ
роль редактора позволяется делать все-все?,ПРЕДЛОЖЕНИЯ
"что недоступно ребятам, которым дам доступ к своей студии?",ПРЕДЛОЖЕНИЯ
"Канал, которомудам доступ к студии, назначать роли другим пользователям?",ПРЕДЛОЖЕНИЯ
может другой управлять настройками доступов в моей студии?,ПРЕДЛОЖЕНИЯ
как мне посмотреть что делал мой администратор на моем канале?,ПРЕДЛОЖЕНИЯ
"мне кажется на моем канале были удалены видео, как посмотреть кто из админов удалил их? ",ПРЕДЛОЖЕНИЯ
"я не хочу управлять чужой студией, как отключиться?",УПРАВЛЕНИЕ АККАУНТОМ
"я дам управление другим, но потом они должны отказаться от доступа, как это сделать?",УПРАВЛЕНИЕ АККАУНТОМ
"Не могу найти список каналов, которыми управлять могу",УПРАВЛЕНИЕ АККАУНТОМ
у вас нет списка да? Студий котрыми управляю,УПРАВЛЕНИЕ АККАУНТОМ
"я хочу дать доступ своему админу на свой канал, у него есть еще какие-то каналы в управлении? Как посмотреть",ПРЕДЛОЖЕНИЯ
"можно увидеть все доступы, к которым есть доступ, у того, кому я его даю в студии?",ПРЕДЛОЖЕНИЯ
сколько ролей есть вообще в студии?,УПРАВЛЕНИЕ АККАУНТОМ
какие доступы есть в студии?,УПРАВЛЕНИЕ АККАУНТОМ
"Ест редактор обычняй и с ограниченными правами, модератор, доступ с правами просмотра и с ограниченными правами просмотра, это все или еще есь?",УПРАВЛЕНИЕ АККАУНТОМ
"значю только редактор есть и модератор, а какие еще могу дать каналам расширения?",УПРАВЛЕНИЕ АККАУНТОМ
Что редактор сможет делать на моем канале?,УПРАВЛЕНИЕ АККАУНТОМ
редактор может канал удалить?,УПРАВЛЕНИЕ АККАУНТОМ
а че только 50 чел могу подключить на управление каналом?,УПРАВЛЕНИЕ АККАУНТОМ
сколько редакторов могу сделать на рутупе?,УПРАВЛЕНИЕ АККАУНТОМ
"у нас 1 канал на всех, около 16 чел, можно всем вместе списаться на доступ расширенный самый?",УПРАВЛЕНИЕ АККАУНТОМ
"с правами Редактора создать трансляцию нельзя что ль  в итоге, если только почта в профиле?",ПРЕДЛОЖЕНИЯ
"можно ли запускать трансляцию на чжом канале, если у меня расширенный доступ? Почему то номер все равно просит",ПРЕДЛОЖЕНИЯ
"Есть роль на моем канале самая расширенная, могу почистить подписки через Студию чужую?",ПРЕДЛОЖЕНИЯ
"я редактор, почему недосупен раздел подписок??????????????",ПРЕДЛОЖЕНИЯ
"мне дали в рутубе редактора, но права ограничены, к чему у меня доступа не будет?",УПРАВЛЕНИЕ АККАУНТОМ
ограниченыые права редактора я загрузать видео смогу?,УПРАВЛЕНИЕ АККАУНТОМ
"хочу дать доступ моему коллеге ,чтобы мог за монетизацией следить, пока я буду недосупен, но не хочу, чтобы гразил видео и т.д. дам ролт с ограничемнными права типо редактор, так ок?",УПРАВЛЕНИЕ АККАУНТОМ
"У меня телеканал, я хочу каждому сотруднику дать рол редактора, их человек 70, сможем так сделать?",УПРАВЛЕНИЕ АККАУНТОМ
какое ограничение на количество каналов которым дам доступ в рутубе? 10 чел могут управлять моим каналам?,УПРАВЛЕНИЕ АККАУНТОМ
50 ролей могу дать эту суммарно по всем каналам моим или нет? ,УПРАВЛЕНИЕ АККАУНТОМ
Что может делать Модератор комментариев в cтудии?,УПРАВЛЕНИЕ АККАУНТОМ
Может ли пользователь с ролью Модератор управлять комментариями в Студии?,УПРАВЛЕНИЕ АККАУНТОМ
"Добавил в cтудии Модератора комментариев, он сможет отвечать на комментарии на моих видео?",УПРАВЛЕНИЕ АККАУНТОМ
Сколько модераторов я могу добавить на канал?,УПРАВЛЕНИЕ АККАУНТОМ
Модератор комментариев может быть только один на канале или можно добавить несколько?,УПРАВЛЕНИЕ АККАУНТОМ
Что может делать Пользователь с правами просмотра в cтудии?,УПРАВЛЕНИЕ АККАУНТОМ
"Не понимаю, чем отличается роль пользователя с правами просмотра?",УПРАВЛЕНИЕ АККАУНТОМ
