user_question,label_2
"Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?",Отклонение/блокировка видео
Можно ли публиковать видео с чтением чужих книг и их переводов?,Отклонение/блокировка видео
Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?,Отклонение/блокировка видео
"Почему вы не разглашаете, чьи авторские права я нарушаю?",Отклонение/блокировка видео
"Как пожаловаться на видео, если оно нарушает авторские права?",Нарушение авторских прав
Что я могу и что не могу делать во время трансляции (стрима)?,Отклонение/блокировка видео
Можно ли стримить на RUTUBE фильмы и сериалы?,Отклонение/блокировка видео
Можно ли на RUTUBE стримить музыку?,Отклонение/блокировка видео
Можно ли выпивать на стримах (в пределах разумного) и можно ли вейпить?,Отклонение/блокировка видео
Для каких трансляций необходима маркировка 18+?,Смена категории/возрастные ограничения
Что такое модерация на RUTUBE?,Отклонение/блокировка видео
Что проверяют при модерации?,Отклонение/блокировка видео
Кем осуществляется модерация в RUTUBE?,Отклонение/блокировка видео
Сколько по времени длится модерация?,Долгая модерация
Что значит «Ваше видео отклонено»?,Отклонение/блокировка видео
"Что делать, если модерация в RUTUBE не пройдена? (Что делать, если мое видео отклонено?)",Отклонение/блокировка видео
"Я не могу войти на сайт, мой аккаунт заблокирован",Блокировка канала
Что я могу и что не могу делать во время стрима?,Отклонение/блокировка видео
Я недавно загрузил видеоролик. Почему он до сих пор не появился на сайте?,Долгая модерация
Почему изменена категория у моего видеоролика?,Смена категории/возрастные ограничения
На моем видеоролике стоит значок «18+». Что это значит и как это убрать?,Смена категории/возрастные ограничения
"Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.",Запрещенный контент
"Это мой ролик, я не давал разрешение на его публикацию.",Нарушение авторских прав
На моем видео стоит значок «18+». Что это значит и как это убрать?,Смена категории/возрастные ограничения
"Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?",Долгая модерация
Почему изменилась категория у моего видео?,Смена категории/возрастные ограничения
